AirQuality,Alcohol,Ambient,CO,CO2,CO2_E,EW,Humidity,MAC_addr,NO2,NS,Noise,Ozone,Ozone_S,Radiation,SO2,Temp_C,Toluene,UV,VCC,createdAt,elevation,ground_speed,latitude,longitude,objectId,pressure,time,updatedAt
-1,-1,638.166666667,43,105,-1,E,43.1666666667,b8:27:eb:8a:84:f0,333.5,N,11.8333333333,-1,507.5,-1,547.666666667,16.5,-1,2.5,5.0383333333,2015-11-03T01:31:57.420Z,62.9,2.331192,37.7861753056,-122.402989194,kY4K4MPswd,100626.166667,1446512364.6543,2015-11-03T01:31:57.420Z
-1,-1,635.8,43,105,-1,E,43.2,b8:27:eb:8a:84:f0,346,N,8.8,-1,508,-1,547.4,16.2,-1,2.4,5.06,2015-11-03T01:32:01.676Z,62.96,1.1748093333,37.7861817576,-122.402989848,quR61ipF6x,100627.8,1446512369.49743,2015-11-03T01:32:01.676Z
-1,-1,637.8,43,105,-1,E,42.8,b8:27:eb:8a:84:f0,331.2,N,10.2,-1,508,-1,547.4,16.6,-1,2.2,5.036,2015-11-03T01:32:06.233Z,63,0.894258,37.786177,-122.402988667,YZctWQcq9m,100629.6,1446514325.87708,2015-11-03T01:32:06.233Z
-1,-1,636.833333333,43,105,-1,E,43.3333333333,b8:27:eb:8a:84:f0,334.666666667,N,10.6666666667,-1,507.5,-1,547.5,16,-1,2.1666666667,5.0566666667,2015-11-03T01:32:06.380Z,63.0666666667,2.805608,37.7861591667,-122.403006931,RuXcpYK9Ts,100626,1446514325.97954,2015-11-03T01:32:06.380Z
-1,-1,638.666666667,43,104.833333333,-1,E,42.1666666667,b8:27:eb:8a:84:f0,336.333333333,N,11.8333333333,-1,507.5,-1,547.666666667,16.8333333333,-1,2.1666666667,5.0383333333,2015-11-03T01:32:07.741Z,63,0.894258,37.786177,-122.402988667,1y0YaBdiVy,100623.333333,1446514327.31144,2015-11-03T01:32:07.741Z
-1,-1,638.8,43.2,105,-1,E,42,b8:27:eb:8a:84:f0,353.2,N,18.4,-1,507.4,-1,547.8,17,-1,2.2,5.04,2015-11-03T01:32:16.356Z,63,0.894258,37.786177,-122.402988667,7OH1lBrDly,100622.6,1446514335.97544,2015-11-03T01:32:16.356Z
-1,-1,638.6,43,105,-1,E,42.4,b8:27:eb:8a:84:f0,347,N,11.6,-1,508.4,-1,547.4,16.6,-1,2.4,5.066,2015-11-03T01:32:16.484Z,62.9,1.1990924,37.7861678,-122.402996067,qIN9J1vWVa,100628.8,1446514336.14738,2015-11-03T01:32:16.484Z
-1,-1,641.166666667,43.8333333333,104.833333333,-1,E,42,b8:27:eb:8a:84:f0,350,N,13.1666666667,-1,507,-1,547.833333333,17,-1,2.3333333333,5.04,2015-11-03T01:32:16.614Z,63,0.894258,37.786177,-122.402988667,oD9r857QKq,100626.333333,1446514336.27264,2015-11-03T01:32:16.614Z
-1,-1,648.333333333,43.1666666667,105,-1,E,43.6666666667,b8:27:eb:8a:84:f0,340,N,15.1666666667,-1,507.833333333,-1,547.166666667,16.3333333333,-1,2.3333333333,5.0333333333,2015-11-03T01:32:52.611Z,-14.02,1.2813043333,37.7850752879,-122.4043235,YVrXbnVT6H,100623,1446514372.06278,2015-11-03T01:32:52.611Z
-1,-1,648.833333333,42.8333333333,105,-1,E,43.5,b8:27:eb:8a:84:f0,354.333333333,N,15.3333333333,-1,508.166666667,-1,547.833333333,16.5,-1,2.1666666667,5.015,2015-11-03T01:32:57.928Z,-13.1,1.561118,37.7851534444,-122.404240444,LJaM4cWYt0,100623,1446514377.24411,2015-11-03T01:32:57.928Z
-1,-1,652.6,42.8,105,-1,E,43.4,b8:27:eb:8a:84:f0,350.2,N,7.8,-1,508.2,-1,547.6,16.2,-1,2.2,5.016,2015-11-03T01:33:03.418Z,-11.78,3.701874,37.7851852,-122.404207433,5QI9vYOjHX,100624.4,1446514382.35328,2015-11-03T01:33:03.418Z
-1,-1,651.166666667,43,105,-1,E,42.8333333333,b8:27:eb:8a:84:f0,335.833333333,N,14.5,-1,507.833333333,-1,547.666666667,16.5,-1,2.5,5.0266666667,2015-11-03T01:33:09.265Z,-10.56,4.1561292,37.7851746,-122.404211617,YiMppCevRN,100623.333333,1446514388.39207,2015-11-03T01:33:09.265Z
-1,-1,111.333333333,40.8333333333,102,-1,E,41,b8:27:eb:8a:84:f0,340.333333333,N,14.1666666667,-1,508.666666667,-1,548,19,-1,4,5.0516666667,2015-11-03T22:15:45.440Z,46.5666666667,0.4244583333,37.7860514444,-122.403269917,TdkoNQdKJL,101052.166667,1446588940.80356,2015-11-03T22:15:45.440Z
-1,-1,102.833333333,40.6666666667,101.666666667,-1,E,41,b8:27:eb:8a:84:f0,343,N,14.8333333333,-1,509.5,-1,547.666666667,19,-1,4.8333333333,5.0283333333,2015-11-03T22:15:45.664Z,54.3666666667,2.151691,37.7859021389,-122.403207347,UdDcYMAUqr,101047.333333,1446588845.44494,2015-11-03T22:15:45.664Z
-1,-1,112.666666667,41,102,-1,E,41,b8:27:eb:8a:84:f0,348.666666667,N,11.1666666667,-1,509.166666667,-1,547.666666667,19,-1,4,5.045,2015-11-03T22:15:48.564Z,34.26,0.8482228,37.78618165,-122.403310533,YcGKwwCQ4V,101049.833333,1446588945.85849,2015-11-03T22:15:48.564Z
-1,-1,100.833333333,41,100.833333333,-1,E,41,b8:27:eb:8a:84:f0,335.833333333,N,18,-1,508.5,-1,548.333333333,19,-1,5,5.0316666667,2015-11-03T22:15:49.060Z,22.8333333333,1.6261113333,37.7861555139,-122.40328875,PAsS3gC48u,101046.833333,1446588948.03628,2015-11-03T22:15:49.060Z
-1,-1,106.5,40.3333333333,102.666666667,-1,E,41,b8:27:eb:8a:84:f0,347.5,N,12.6666666667,-1,508.166666667,-1,547.833333333,19,-1,4.3333333333,5.0433333333,2015-11-03T22:15:49.063Z,50.1333333333,0.6570756667,37.7860017222,-122.403255667,yb63rMsUou,101048.833333,1446588947.51673,2015-11-03T22:15:49.063Z
-1,-1,105.6,40.2,101.6,-1,E,41,b8:27:eb:8a:84:f0,353,N,7.6,-1,508.8,-1,548,19,-1,4.2,5.036,2015-11-03T22:15:49.380Z,52.64,3.0502768,37.7859488667,-122.403228,bZPnOWqukK,101044.8,1446588942.56182,2015-11-03T22:15:49.380Z
-1,-1,101.2,41,101.2,-1,E,41,b8:27:eb:8a:84:f0,341.4,N,10.2,-1,508.2,-1,547.6,19,-1,5,5.034,2015-11-03T22:15:49.396Z,28.76,0.7952244,37.7860785,-122.403260033,sxAWfr2CtD,101050,1446588942.55434,2015-11-03T22:15:49.396Z
-1,-1,104.5,40.8333333333,101.833333333,-1,E,41,b8:27:eb:8a:84:f0,345.333333333,N,14.1666666667,-1,508.5,-1,548,19,-1,5,5.0166666667,2015-11-03T22:16:37.897Z,-39.14,0.7120544,37.7864332333,-122.4033721,H69GdILPhI,101051.166667,1446588995.21739,2015-11-03T22:16:37.897Z
-1,-1,102.666666667,41,101.833333333,-1,E,41.3333333333,b8:27:eb:8a:84:f0,359.333333333,N,14.8333333333,-1,509.166666667,-1,548.166666667,18.8333333333,-1,5,5.0116666667,2015-11-03T22:16:38.467Z,-12.25,0.7328791111,37.7863665741,-122.403367611,YlQf9UY2LJ,101039.166667,1446588995.2097,2015-11-03T22:16:38.467Z
-1,-1,105,40.8,101.8,-1,E,40.8,b8:27:eb:8a:84:f0,345.2,N,15.6,-1,507.6,-1,548,18.6,-1,5,5.01,2015-11-03T22:16:40.723Z,-40.06,1.192744,37.7863734667,-122.4033633,2a0GB3wcEC,101049.2,1446588997.83534,2015-11-03T22:16:40.723Z
-1,-1,103.333333333,41,101.666666667,-1,E,41,b8:27:eb:8a:84:f0,360,N,14.8333333333,-1,509.5,-1,548,19,-1,5,5.0183333333,2015-11-03T22:16:42.620Z,-23.65,0.8199803333,37.7864036806,-122.403373986,zy3tZhUDFT,101041.166667,1446588993.46829,2015-11-03T22:16:42.620Z
-1,-1,103.666666667,41,101.666666667,-1,E,41.1666666667,b8:27:eb:8a:84:f0,341.666666667,N,19.8333333333,-1,509.333333333,-1,547.833333333,19,-1,5,5.02,2015-11-03T22:16:42.628Z,-35.7833333333,0.463713,37.7864652917,-122.403397417,5knGRK24Y2,101044.833333,1446588993.45818,2015-11-03T22:16:42.628Z
-1,-1,103,41,101.6,-1,E,41.2,b8:27:eb:8a:84:f0,345.8,N,13.2,-1,510.4,-1,548,19,-1,5,5.02,2015-11-03T22:16:42.634Z,-30.22,0.7458928,37.7864382667,-122.403389133,oko9tGnMyA,101041.6,1446588998.47228,2015-11-03T22:16:42.634Z
-1,-1,104.2,41,101.2,-1,E,41,b8:27:eb:8a:84:f0,343.2,N,11.8,-1,508.2,-1,548.4,19,-1,5,5.024,2015-11-03T22:16:49.669Z,-38.94,0.377704,37.7864744333,-122.403385133,KKyxygG9Fa,101041.4,1446589006.80894,2015-11-03T22:16:49.669Z
-1,-1,104.333333333,41,101,-1,E,41,b8:27:eb:8a:84:f0,345.166666667,N,21.3333333333,-1,508.5,-1,548,18.6666666667,-1,5,5.0083333333,2015-11-03T22:16:49.673Z,-41.8333333333,0.171797,37.7863290278,-122.403360361,bRnbX5HG66,101049.666667,1446589007.94838,2015-11-03T22:16:49.673Z
-1,-1,104.5,41.3333333333,100.833333333,-1,E,41,b8:27:eb:8a:84:f0,336.5,N,11.3333333333,-1,509.166666667,-1,548.333333333,19,-1,5,5.005,2015-11-03T22:16:54.023Z,-48.8833333333,0.697461,37.786310875,-122.403364778,xyLmvhO0ET,101049.333333,1446589010.812,2015-11-03T22:16:54.023Z
-1,-1,104,41,100.8,-1,E,40.8,b8:27:eb:8a:84:f0,350.2,N,10,-1,507.8,-1,547.6,18.6,-1,5,5.012,2015-11-03T22:16:54.028Z,-43.8,0.5569408,37.7862989,-122.4033559,P847aRgb2Q,101047.6,1446589011.3633,2015-11-03T22:16:54.028Z
