north,west,south,east,Ozone_S,SO2,time
37.7033906297,-122.4860601506,37.701594,-122.483789393,48.3773767647,292.0605497813,1448139407.92588
37.7051872594,-122.4883302478,37.7033906297,-122.4860594351,48.4361197976,290.6388067215,1448139399.93168
37.7051872594,-122.4860594351,37.7033906297,-122.4837886224,48.1250804162,284.1825803242,1448139392.38054
37.7069838892,-122.4883295873,37.7051872594,-122.4860587196,48.3610197457,288.4473107444,1448139388.54633
37.7069838892,-122.4860587196,37.7051872594,-122.4837878518,48.3302495856,289.408439717,1448139386.23323
37.7087805189,-122.4883289267,37.7069838892,-122.4860580039,46.4756955277,285.4648645495,1448139377.66812
37.7087805189,-122.4860580039,37.7069838892,-122.4837870811,48.3968433337,290.4850415008,1448139372.66037
37.7105771486,-122.488328266,37.7087805189,-122.4860572882,48.0369769295,293.8036235827,1448139372.65167
37.7105771486,-122.4860572882,37.7087805189,-122.4837863104,48.4194308972,291.714742855,1448139363.43731
37.7123737783,-122.4905986382,37.7105771486,-122.4883276053,48.0834624708,291.6586600652,1448139362.17601
37.7123737783,-122.4860565724,37.7105771486,-122.4837855395,48.3234697199,292.3731060419,1448139353.54444
37.7141704081,-122.4928691205,37.7123737783,-122.4905980325,47.9291944477,288.1547048829,1448139352.34212
37.7141704081,-122.4905980325,37.7123737783,-122.4883269446,47.4340034808,288.3131997253,1448139343.66224
37.7141704081,-122.4860558566,37.7123737783,-122.4837847687,49.1495702901,293.3484589104,1448139337.53223
37.7159670378,-122.4951397128,37.7141704081,-122.4928685698,47.97613198,292.1536516464,1448139333.10019
37.7159670378,-122.4928685698,37.7141704081,-122.4905974268,48.2243793736,288.7114688125,1448139327.61509
37.7159670378,-122.4860551407,37.7141704081,-122.4837839977,48.9968668514,291.2660805358,1448139322.87132
37.7177636675,-122.4996816133,37.7159670378,-122.4974104152,48.0582726618,290.0520710113,1448139317.52116
37.7177636675,-122.4974104152,37.7159670378,-122.4951392171,48.2170779797,288.4269908923,1448139312.91113
37.7177636675,-122.4951392171,37.7159670378,-122.492868019,50.3198794312,294.372579423,1448139310.6843
37.7177636675,-122.4860544247,37.7159670378,-122.4837832267,48.821633397,292.2219263472,1448139308.17644
37.7195602972,-122.501952481,37.7177636675,-122.4996812278,48.9508680695,295.6100583755,1448139301.50835
37.7195602972,-122.4996812278,37.7177636675,-122.4974099746,48.4251677067,289.0101706287,1448139292.41781
37.7195602972,-122.4860537087,37.7177636675,-122.4837824556,48.3375509795,291.6700391817,1448139290.36643
37.721356927,-122.5019521504,37.7195602972,-122.4996808422,48.7482543881,292.9750816404,1448139282.54158
37.721356927,-122.4860529926,37.7195602972,-122.4837816844,48.3829239275,290.0200672454,1448139277.28797
37.7231535567,-122.5042231833,37.721356927,-122.5019518199,47.8556589803,284.600762867,1448139274.74671
37.7231535567,-122.5019518199,37.721356927,-122.4996804566,47.3759573991,285.8041044684,1448139273.62246
37.7231535567,-122.4860522765,37.721356927,-122.4837809131,48.0856528889,287.7645637359,1448139262.01829
37.7249501864,-122.5042229078,37.7231535567,-122.5019514894,48.6301282647,292.0439244486,1448139257.86998
37.7249501864,-122.4860515603,37.7231535567,-122.4837801418,48.2882665705,288.8252599808,1448139257.54004
37.7267468161,-122.5064941058,37.7249501864,-122.5042226323,48.9530584879,295.6356613886,1448139248.56044
37.7267468161,-122.5042226323,37.7249501864,-122.5019511588,48.7842810029,292.3827312347,1448139242.76218
37.7267468161,-122.486050844,37.7249501864,-122.4837793705,48.6708074596,290.4102083929,1448139242.57995
37.7285434458,-122.5064938854,37.7267468161,-122.5042223568,48.269648016,287.5792466908,1448139232.38084
37.7285434458,-122.4860501277,37.7267468161,-122.483778599,48.6864533037,291.8122781421,1448139227.70324
37.7303400756,-122.506493665,37.7285434458,-122.5042220812,48.9481300468,291.32155373,1448139222.26268
37.7303400756,-122.4928641625,37.7285434458,-122.4905925787,48.2996398957,289.271671486,1448139218.55008
37.7303400756,-122.4905925787,37.7285434458,-122.488320995,48.4931859554,291.0599089057,1448139218.53853
37.7303400756,-122.488320995,37.7285434458,-122.4860494112,48.3731452749,288.2598601148,1448139206.92176
37.7303400756,-122.4860494112,37.7285434458,-122.4837778275,48.8011894941,292.3812339827,1448139204.39515
37.7321367053,-122.5087650834,37.7303400756,-122.5064934445,48.4604577774,289.195081277,1448139204.38347
37.7321367053,-122.4928636114,37.7303400756,-122.4905919725,48.1206995799,287.93768887,1448139197.94236
37.733933335,-122.5087649181,37.7321367053,-122.5064932241,48.3265988887,290.7561538636,1448139188.48334
37.733933335,-122.4996781421,37.7321367053,-122.4974064482,47.9279427802,289.7981744672,1448139182.19256
37.733933335,-122.4974064482,37.7321367053,-122.4951347542,48.4817535096,292.1465396983,1448139177.76025
37.733933335,-122.4951347542,37.7321367053,-122.4928630602,48.4613938535,290.6962493784,1448139176.88125
37.733933335,-122.4928630602,37.7321367053,-122.4905913662,48.2058129719,291.0417493755,1448139168.5503
37.7357299647,-122.5087647527,37.733933335,-122.5064930036,48.5318064864,292.6791871724,1448139162.72105
37.7357299647,-122.5064930036,37.733933335,-122.5042212545,48.2849809433,285.9065165201,1448139157.19991
37.7357299647,-122.5042212545,37.733933335,-122.5019495054,48.5137800784,288.4916449653,1448139152.56984
37.7357299647,-122.5019495054,37.733933335,-122.4996777563,48.3584595167,288.7631920704,1448139152.48896
37.7357299647,-122.4996777563,37.733933335,-122.4974060072,48.6697644033,291.6415913902,1448139142.0009
37.7357299647,-122.492862509,37.733933335,-122.4905907599,48.4995266396,291.7359182793,1448139137.35893
37.7375265945,-122.4928619577,37.7357299647,-122.4905901534,48.4117818178,290.1528236081,1448139133.29521
37.7393232242,-122.4928614064,37.7375265945,-122.490589547,48.3946171373,289.9526908958,1448139132.12197
37.7393232242,-122.490589547,37.7375265945,-122.4883176876,48.6168292973,291.9189573616,1448139129.66061
37.7411198539,-122.492860855,37.7393232242,-122.4905889405,48.4936182748,291.524244248,1448139127.01037
37.7411198539,-122.4905889405,37.7393232242,-122.488317026,48.3215440774,290.1382349965,1448139112.25001
37.7429164836,-122.4928603036,37.7411198539,-122.4905883339,48.6113532518,291.6309234679,1448139108.05712
